feature,importance
attr,0.38304938890000784
attr_o,0.19392700394617426
shar,0.073435733808053
fun,0.05563722480941878
shar_o,0.02986536303476742
fun_o,0.026104918346457236
preference_match_score,0.02174429357783206
tv,0.015286039963291517
pf_o_sha,0.014806356612167204
sinc_o,0.008482583078665411
shar_diff,0.007524097581451997
race_o,0.0065840643759393965
clubbing,0.006412689652643271
dining,0.006364579006484408
amb_diff,0.006327164736725943
race_2.0,0.00608883304361735
pf_o_amb,0.005821082599988025
avg_rating_received,0.005583579561489549
pf_o_int,0.005581663878868206
age,0.00534174246286879
age_diff,0.005240116488782284
yoga,0.004898155552624509
museums,0.004894995738707194
attr_diff,0.004816982346237765
pf_o_att,0.00478353648863162
date,0.004762224353318295
rating_asymmetry,0.004395423925066469
theater,0.004172566191911906
sinc_diff,0.004169101199421085
gaming,0.004117093012523661
music,0.0040316879472404275
age_o,0.003784851781657289
exphappy,0.0037790394843888503
shopping,0.003760220857106104
intel_diff,0.003714902227759944
pf_o_sin,0.0035023521181755967
exercise,0.0033686650541107804
concerts,0.0033090008722817554
intel_o,0.003267837172238579
tvsports,0.002994570978834284
amb,0.0028354728577148925
amb_o,0.0027987992005621427
reading,0.0027388273607016093
race_o_2.0,0.002728268175346236
expnum,0.0026072371649962373
movies,0.0024474402672295947
intel,0.001869798363806405
sinc,0.0018537994924699584
pf_o_fun,0.0018294238793398118
go_out,0.0015347636586502847
art,0.0015012904000228345
goal,0.0014826452748445873
fun_diff,0.0014563767844569613
race_4.0,0.0012148408102133775
hiking,0.0011973219524342102
race_o_3.0,0.0009082374441538872
avg_rating_given,0.0008124611285006659
race_o_1.0,0.0007329606527275443
race_1.0,0.0005461651431055391
race_0.0,0.0004072779735520676
sports,0.00040256065644265153
race_o_6.0,0.0003623045907983863
gender,0.0
race_6.0,0.0
race_o_4.0,0.0
race_3.0,0.0
race_o_0.0,0.0
samerace,0.0
